"word";"wordtype";"L";"varianten";"context";"english";"spanish"
"kòpi di te";"sus";2;;;"tea cup";"taza de té"
"kòrá";"ath";2;;;"red";"rojo"
"kuki";"sus";2;;;"cookie";"galleta"
"lechi";"sus";2;;;"milk";"leche"
"likùr";"sus";2;;;"liqour";"licor"
"mainta";"sus";2;;;"morning";"manana"
"maleta";"sus";2;;;"luggage";"maleta"
"man";"sus";2;;;"hand";"mano"
"mañan";"atv";2;;;"tomorrow";"manana"
"mangel";"sus";2;;;"sweets";"dulces"
"manteka dushi";"sus";2;;;"butter";"mantequilla"
"mèrdia";"atv";2;;;"noon";"mediodía"
"nubia";"sus";2;;;"cloud";"nube"
"nan";"pro p";2;"anan (AB)";;"they";"ellos/ellas"
"nos";"pro p";2;"anos (AB)";;"we";"nosotros/nosotras"
"ocho";"num";2;;;"eight";"ocho"
"oloshi";"sus";2;;;"watch";"reloj"
"oraño";"ath";2;;;"orange";"naranja"
"palu";"sus";2;;;"tree";"árbol"
"pandushi";"sus";2;;;"sweet bread";"pan dulce"
"piská kòrá";"sus";2;;;"red snapper";"pargo rojo"
"pretu";"ath";2;;;"black";"negro/negra"
"pùnch";"sus";2;;;"punch";"ponche"
"püs";"sus";2;;;"violet";"morado"
"pushi";"sus";2;;;"cat";"gato"
"ròm";"sus";2;;;"rum";"rón"
"ròm bèrdè";"sus";2;;;"green rum";"rón verde"
"ròm blanku";"sus";2;;;"white rum";"rón blanco"
"rosa";"sus";2;;;"pink";"rosa"
"seku";"ath";2;;;"dry";"seco"
"señora";"sus";2;;;"misses";"senora"
"serbes";"sus";2;;;"beer";"cerveza"
"serbes pretu";"sus";2;;;"dark beer";"cerveza negra"
"set";"sus";2;;;"thirsty";"sed"
"shete";"num";2;;;"seven";"siete"
"shinishi";"ath";2;;;"grey";"gris"
"sin";"pre";2;;;"without";"sin"
"sinku";"num";2;;;"five";"sinco"
"skucha";"ver";2;;;"to hear";"esuchar"
"sòpi";"sus";2;;;"soup ";"sopa"
"spèki";"sus";2;;;"bacon";"tocino"
"tamarein";"sus";2;;;"tamarind";"tamarindo"
"tambe";"atv";2;;;"too";"también"
"tas";"sus";2;;;"bag";"bolso"
"tin";"ver";2;;;"to have";"tener"
"tur";"atv";2;;;"all";"todo"
"un";"art";2;;;"a/an";"un/una"
"weiter";"sus";2;;;"waiter";"camarero"
"wiski";"sus";2;;;"whisky";"whiskey"
"wòrs";"sus";2;;;"sausage";"salchicha"
"yùfrou";"sus";2;"yefrou";;"miss ";"senorita"
"zeta";"sus";2;;;"oil";"aceite"
"zeta dushi";"sus";2;;;"cooking oil";"aceite de cocina"
"zjampaña";"sus";2;;;"champagne ";"champaña"
"zjar";"sus";2;;;"water urn";"porron de agua fresca"
"zjiraf";"sus";2;;;"giraffe";"girafa"
