calsio;4
karbohidrato;4
proteïna vegetal;4
tahú;4
spátula;4
perkansia;4
rèktum;4
tripa chiki;4
peristálika;4
peristáltika;4
defekashon;4
djente kòrta;4
djente huki;4
dentadura di lechi;4
vèrstantkis;4
miyárt;4
glasür;4
tutpek;4
ensiya;4
bùgel;4
dañifiká;4
removibel;4
glasür;4
ponensha;4
konsekwensha;4
organo pa digestion;4
duodeno;4
emulga;4
enlatamentu;4
pastùramentu;4
deskonhela;4
glukosa;4
herbifor;4
omnifor;4
konbustion;4
spumante;4
lusife;4
sekondewèiser;4
bronkia;4
kavidat bukal;4
bronkio;4
ramifilashon;4
vaso kapilaria;4
ratisida;4
shèg;4
kabitu di sigá;4
bolicha;4
isolatorio;4
invernal;4
hibernashon;4
otoño;4
amfibio;4
bestia di sanger friu;4
bestia di sanger kayente;4
koherensha;4
organo respiratorio;4
skal di petri;4
kuèrdènan vokal;4
kartilago di renchi;4
pipa di rosea;4
sistema respiratorio;4
ensiklopidia;4
flishi di pechu;4
ventaniya;4
pardeblum;4
arbusto;4
abastese;4
vlas;4
nervio mayo;4
zikinza;4
fotosintesis;4
adeifi;4
spinashi;4
krans di rais;4
sten di blachi;4
hènep;4
papa di blachi;4
obra di arte;10
keramika;10
palu di laman;10
;10
mundu eksterno;10
brazièl;10
artista plástiko;10
pieda di laman;10
ekspreshon artistiko;10
realisashon propio;10
honor propio;10
rèspèt propio;10
konfiansa propio;10
pas interior;10
prestigio sosial;10
kontakto sosial;10
seguridat sosial;10
krítika destruktivo;10
aseptashon propio;10
eskala pentatóniko;10
wardadó di karné;10
lesa lip;10
drecha uña;10
laga sa;10
mala fashi;10
riba pia;10
agrandá;10
mitrayùr;10
shikue;10
shushou;10
punto di bista;10
palabra malu;10
ordenamentu teritorial;10
kas di peublo;10
ekspanshon di kas;10
hal prinsipal;10
mobiliario;10
biba huntu;10
minisioso;10
desaroyo teknologiko;10
avansamentu;5
kamara digital;5
mikro chip;5
linkit;5
desabilidat físiko;2
desabilidat mental;2
problemanan mental;2
charlatan;2
penicilina;2
kalefakshon sentral;2
impuestonan;2
fisioterapeuta;2
dòkter di kas;2
siensia médiko;2
palabra klave;2
medio ambiente;2
alóktono;2
espatiko;2
preshon haltu;2
hemodialisá;2
gagamentu;2
fluides;2
logopodista;2
syndrome di down;2
hendikap motóriko;2
hèndikap ;2
multiple sclerase;2
raportashon;2
konsepto general;1
konsepto general;1
konsepto verbal;1
aritmétika;1
nivel preparatorio;1
bou di ;1
dilanti di;1
tras di;1
tras;1
patras;1
te patras;1
te patras;1
esun di meimei;1
na man robes;1
na man drechi;1
banda di;1
ofer;1
su dilanti;1
su tras;1
banda di dje;1
na banda;1
na banda;1
mas haltu;1
mes haltu;1
 mas plat;1
 di mas plat;1
banda di otro;1
riba otro;1
un bou di otro;1
for di otro;1
den un kren;1
den un sírkulo;1
bia;1
;1
ta monta 4;1
mi ta kita 2;1
ta sobra 4;1
2 pone 3 aserka ta 5;1
6 kita 2 ta sobra 4;1
6 kita 2 ta sobra 4;1
8 ménos 2 ta 6;1
largu (dimenshon horizontal);1
mas largu;1
mas kòrtiku;1
di mas largu;1
di mas kòrtiku;1
hanchu(dimenshon horizontal);1
diki (dimenshon vertikal);1
un tiki;1
masha hopi;1
 demasiado;1
no sufisiente;1
kasi mes tantu;1
Konsepto di forma ;1
konsepto di midi;1
konsepto di pisa;1
konsepto di operashon;1
pone aserka;1
kita afó;1
forma grupo;1
konsepto di òrden;1
konsepto di sekuensia;1
di promé;1
di dos;1
di tres;1
di kuater;1
di sinku;1
di seis;1
di shete;1
di ocho;1
di nuebe;1
un promé ku delaster;1
testttttt;6
di meimei;1
di mas dilanti ;1
di mas patras;1
konsepto di kantidat;1
konsepto di kantidat;1
muchu tiki;1
mas tantu;1
mes tantu;1
mes hopi;1
di ménos;1
di mas hopi;1
hopi mas;1
mas fofo;1
mas pisá;1
mes pisá;1
mesun fofo;1
di mas pisá;1
di mas fofo;1
mitar yen ;1
mes yen ;1
mes bashi;1
konsepto di tempu;1
awor aki;1
aworei;1
masha dia;1
masha ora;1
masha tempu;1
mainta trempan;1
mei anochi;1
aña pasá;1
e aña aki;1
otro aña;1
mei ora;1
kuartu di ora;1
mas lat;1
mas trempan;1
